INFO:root:[REPLICATOR SENDER] Started a server on 127.0.0.1:12345.
INFO:root:[REPLICATOR SENDER] send CODE_MULTIPLENODE:46 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_SINGLENOE:9 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SINGLENOE:9.
INFO:root:[REPLICATOR SENDER] send CODE_SINGLENOE:9 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_DIGITAL:94 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_DIGITAL:94.
INFO:root:[REPLICATOR SENDER] send CODE_DIGITAL:94 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CONSUMER:70 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CONSUMER:70.
INFO:root:[REPLICATOR SENDER] send CODE_CONSUMER:70 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_ANALOG:2 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_ANALOG:2.
INFO:root:[REPLICATOR SENDER] send CODE_ANALOG:2 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_MULTIPLENODE:10 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_MULTIPLENODE:10.
INFO:root:[REPLICATOR SENDER] send CODE_MULTIPLENODE:10 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_MULTIPLENODE:68 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_MULTIPLENODE:68.
INFO:root:[REPLICATOR SENDER] send CODE_MULTIPLENODE:68 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CONSUMER:89 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CONSUMER:89.
INFO:root:[REPLICATOR SENDER] send CODE_CONSUMER:89 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CUSTOM:67 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CUSTOM:67.
INFO:root:[REPLICATOR SENDER] send CODE_CUSTOM:67 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_SINGLENOE:90 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SINGLENOE:90.
INFO:root:[REPLICATOR SENDER] send CODE_SINGLENOE:90 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_MULTIPLENODE:86 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_MULTIPLENODE:86.
INFO:root:[REPLICATOR SENDER] send CODE_MULTIPLENODE:86 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_ANALOG:80 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_ANALOG:80.
INFO:root:[REPLICATOR SENDER] send CODE_ANALOG:80 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_LIMITSET:14 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_LIMITSET:14.
INFO:root:[REPLICATOR SENDER] send CODE_LIMITSET:14 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_DIGITAL:89 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_DIGITAL:89.
INFO:root:[REPLICATOR SENDER] send CODE_DIGITAL:89 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_SINGLENOE:38 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SINGLENOE:38.
INFO:root:[REPLICATOR SENDER] send CODE_SINGLENOE:38 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CONSUMER:21 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CONSUMER:21.
INFO:root:[REPLICATOR SENDER] send CODE_CONSUMER:21 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_LIMITSET:34 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_LIMITSET:34.
INFO:root:[REPLICATOR SENDER] send CODE_LIMITSET:34 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_SINGLENOE:19 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SINGLENOE:19.
INFO:root:[REPLICATOR SENDER] send CODE_SINGLENOE:19 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_LIMITSET:75 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_LIMITSET:75.
INFO:root:[REPLICATOR SENDER] send CODE_LIMITSET:75 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CUSTOM:50 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CUSTOM:50.
INFO:root:[REPLICATOR SENDER] send CODE_CUSTOM:50 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CONSUMER:43 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CONSUMER:43.
INFO:root:[REPLICATOR SENDER] send CODE_CONSUMER:43 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_LIMITSET:71 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_LIMITSET:71.
INFO:root:[REPLICATOR SENDER] send CODE_LIMITSET:71 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_DIGITAL:31 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_DIGITAL:31.
INFO:root:[REPLICATOR SENDER] send CODE_DIGITAL:31 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_LIMITSET:48 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_LIMITSET:48.
INFO:root:[REPLICATOR SENDER] send CODE_LIMITSET:48 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_ANALOG:64 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_ANALOG:64.
INFO:root:[REPLICATOR SENDER] send CODE_ANALOG:64 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_LIMITSET:69 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_LIMITSET:69.
INFO:root:[REPLICATOR SENDER] send CODE_LIMITSET:69 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_SOURCE:55 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SOURCE:55.
INFO:root:[REPLICATOR SENDER] send CODE_SOURCE:55 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CUSTOM:84 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CUSTOM:84.
INFO:root:[REPLICATOR SENDER] send CODE_CUSTOM:84 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_MULTIPLENODE:72 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_MULTIPLENODE:72.
INFO:root:[REPLICATOR SENDER] send CODE_MULTIPLENODE:72 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_SOURCE:69 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SOURCE:69.
INFO:root:[REPLICATOR SENDER] send CODE_SOURCE:69 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CONSUMER:28 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CONSUMER:28.
INFO:root:[REPLICATOR SENDER] send CODE_CONSUMER:28 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CONSUMER:70 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CONSUMER:70.
INFO:root:[REPLICATOR SENDER] send CODE_CONSUMER:70 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_SINGLENOE:92 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SINGLENOE:92.
INFO:root:[REPLICATOR SENDER] send CODE_SINGLENOE:92 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_DIGITAL:86 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_DIGITAL:86.
INFO:root:[REPLICATOR SENDER] send CODE_DIGITAL:86 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_LIMITSET:54 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_LIMITSET:54.
INFO:root:[REPLICATOR SENDER] send CODE_LIMITSET:54 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_SOURCE:62 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SOURCE:62.
INFO:root:[REPLICATOR SENDER] send CODE_SOURCE:62 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_LIMITSET:66 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_LIMITSET:66.
INFO:root:[REPLICATOR SENDER] send CODE_LIMITSET:66 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_ANALOG:22 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_ANALOG:22.
INFO:root:[REPLICATOR SENDER] send CODE_ANALOG:22 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CONSUMER:52 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CONSUMER:52.
INFO:root:[REPLICATOR SENDER] send CODE_CONSUMER:52 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_SINGLENOE:66 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SINGLENOE:66.
INFO:root:[REPLICATOR SENDER] send CODE_SINGLENOE:66 to Replicator Receiver.
WARNING:root:[WRITER] Writer 13864 successfully closed.
WARNING:root:[WRITER] Writer 25084 successfully closed.
WARNING:root:[WRITER] Writer 3700 successfully closed.
WARNING:root:[WRITER] Writer 24136 successfully closed.
WARNING:root:[WRITER] Writer 19724 successfully closed.
